semaforo;manutencaoprevsequencia;marcadortroca;dtultimatroca;dtproximatroca;marcadordocumento;manutencaoprevmarcadorultimatroca;restante;manutencaoprevmarcadorsobrevida;programacaomanutprevdesviopadr;manutencaoprevmarcadorproximatroca;manutencaoprevmarcadorproximatrocadesvio;manutencaoprevveiculo;veiculonumerofrota;veiculotipoveiculo;utilizaveicdescricao;marcaveicdescricao;marcamodeldescricao;veiculopossuirefrig;frotaveiculo;produtodescricao;grupoprodutodescricao;grupoprodutosubdescricao;programacaomanutprevquantidade;situação
Vencida;4;30000 Km;12/03/2025;08/09/2025;1012486;973529 Km;-8957 Km;30000 Km;0.00 %;1003529 Km;1003529;MRY2830;;CVTR;TRANSPORTES;VOLVO;FH 400 4X2;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR VOLVO FH - 0915018;MOTOR;FILTROS;2.000 UN;Ativo
Vencida;4;30000 Km;04/07/2023;31/12/2023;579633;542123 Km;-7510 Km;30000 Km;0.00 %;572123 Km;572123;MRZ6178;;CVTR;TRANSPORTES;VOLVO;FH440 6X4;NÃO;Próprio;FILTRO DE COMBUSTIVEL MOTOR VOLVO FH D12/D13;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;4;40000 Km;04/07/2025;31/12/2025;355880;315237 Km;-643 Km;40000 Km;0.00 %;355237 Km;355237;PPW0287;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;4;30000 Km;27/07/2022;23/01/2023;679277;578005 Km;-71272 Km;30000 Km;0.00 %;608005 Km;608005;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO RACOR VOLVO FH D13 - FS19920;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;4;40000 Km;01/04/2025;28/09/2025;323438;282790 Km;-648 Km;40000 Km;0.00 %;322790 Km;322790;FPK0C05;;CVTRT;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;4;20000 Km;20/05/2025;16/11/2025;109879;88070 Km;-1809 Km;20000 Km;0.00 %;108070 Km;108070;SGA1C95;;CVTR;TRANSPORTES;DAF;XF 105 FTS;NÃO;Próprio;FILTRO DE COMBUSTIVEL DAF XF BLUE ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;4;40000 Km;30/01/2023;29/07/2023;279633;180123 Km;-59510 Km;40000 Km;0.00 %;220123 Km;220123;EMA5G30;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;4;40000 Km;14/05/2025;10/11/2025;171561;124011 Km;-7550 Km;40000 Km;0.00 %;164011 Km;164011;SFQ7F74;;CVTR;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;OLEO MOTOR DAF XF 10W30 ;LUBRIFICANTE;OLEO MOTOR;46.000 UN;Ativo
Vencida;4;30000 Km;22/10/2024;20/04/2025;649357;613635 Km;-5722 Km;30000 Km;;643635 Km;643635;OYF5271;;CVTR;TRANSPORTES;VOLVO;FH540 6X4;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR VOLVO FH - 0915018;MOTOR;FILTROS;2.000 UN;Ativo
Vencida;4;40000 Km;05/02/2025;04/08/2025;300183;260100 Km;-83 Km;40000 Km;0.00 %;300100 Km;300100;GGS9J18;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;4;20000 Km;10/04/2025;07/10/2025;162171;138909 Km;-3262 Km;20000 Km;0.00 %;158909 Km;158909;RQM6J28;;CVTRB;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;30000 Km;13/08/2024;09/02/2025;649357;612166 Km;-7191 Km;30000 Km;0.00 %;642166 Km;642166;OYF5271;;CVTR;TRANSPORTES;VOLVO;FH540 6X4;NÃO;Próprio;FILTRO DE COMBUSTIVEL MOTOR VOLVO FH D12/D13;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;20000 Km;20/05/2025;16/11/2025;109879;88070 Km;-1809 Km;20000 Km;0.00 %;108070 Km;108070;SGA1C95;;CVTR;TRANSPORTES;DAF;XF 105 FTS;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;40000 Km;10/01/2025;09/07/2025;162171;122051 Km;-120 Km;40000 Km;0.00 %;162051 Km;162051;RQM6J28;;CVTRB;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF BLUE;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;40000 Km;11/06/2025;08/12/2025;41303;1 Km;-1302 Km;40000 Km;0.00 %;40001 Km;40001;TOF3C00;;CVTR;TRANSPORTES;DAF;XF FTS 480;NÃO;Próprio;OLEO MOTOR DAF XF 10W30 ;LUBRIFICANTE;OLEO MOTOR;46.000 UN;Ativo
Vencida;3;20000 Km;08/08/2023;04/02/2024;279633;198107 Km;-61526 Km;20000 Km;0.00 %;218107 Km;218107;EMA5G30;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;30000 Km;12/03/2025;08/09/2025;1012486;973528 Km;-8958 Km;30000 Km;0.00 %;1003528 Km;1003528;MRY2830;;CVTR;TRANSPORTES;VOLVO;FH 400 4X2;NÃO;Próprio;FILTRO DE COMBUSTIVEL MOTOR VOLVO FH D12/D13;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;30000 Km;04/07/2023;31/12/2023;579633;542123 Km;-7510 Km;30000 Km;0.00 %;572123 Km;572123;MRZ6178;;CVTR;TRANSPORTES;VOLVO;FH440 6X4;NÃO;Próprio;FILTRO RACOR VOLVO FH D13 - FS19920;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;60000 Km;27/07/2022;23/01/2023;679277;578005 Km;-41272 Km;60000 Km;0.00 %;638005 Km;638005;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO DE AR MOTOR VOLVO FH 12;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;10000 Km;27/10/2025;25/04/2026;146800;133697 Km;-3103 Km;10000 Km;0.00 %;143697 Km;143697;QRK1I94;;A;ADMINISTRATIVO;CHEVROLET;ONIX JOY;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR ONIX;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;3;20000 Km;22/09/2025;21/03/2026;195321;174686 Km;-635 Km;20000 Km;0.00 %;194686 Km;194686;QRG7F46;;A;APOIO;CHEVROLET;ONIX JOY;NÃO;Próprio;FILTRO DE AR MOTOR ONIX APOS 2013;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;2;20000 Km;10/09/2025;09/03/2026;41303;20131 Km;-1172 Km;20000 Km;0.00 %;40131 Km;40131;TOF3C00;;CVTR;TRANSPORTES;DAF;XF FTS 480;NÃO;Próprio;FILTRO DE COMBUSTIVEL DAF XF BLUE ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;2;30000 Km;27/07/2022;23/01/2023;679277;578005 Km;-71272 Km;30000 Km;0.00 %;608005 Km;608005;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR VOLVO FH - 0915019;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;2;20000 Km;12/07/2024;08/01/2025;832333;776690 Km;-35643 Km;20000 Km;0.00 %;796690 Km;796690;PPQ5J77;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO DE COMBUSTIVEL DAF XF ;MOTOR;FILTROS;2.000 UN;Ativo
Vencida;2;30000 Km;12/03/2025;08/09/2025;1012486;973529 Km;-8957 Km;30000 Km;0.00 %;1003529 Km;1003529;MRY2830;;CVTR;TRANSPORTES;VOLVO;FH 400 4X2;NÃO;Próprio;FILTRO RACOR VOLVO FH D13 - FS19920;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;2;40000 Km;10/01/2025;09/07/2025;162171;122051 Km;-120 Km;40000 Km;0.00 %;162051 Km;162051;RQM6J28;;CVTRB;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;OLEO MOTOR DAF XF 10W30 ;LUBRIFICANTE;OLEO MOTOR;46.000 UN;Ativo
Vencida;2;20000 Km;25/08/2025;21/02/2026;323438;301558 Km;-1880 Km;20000 Km;0.00 %;321558 Km;321558;FPK0C05;;CVTRT;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;2;20000 Km;08/08/2023;04/02/2024;279633;198107 Km;-61526 Km;20000 Km;0.00 %;218107 Km;218107;EMA5G30;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO DE COMBUSTIVEL DAF XF ;MOTOR;FILTROS;2.000 UN;Ativo
Vencida;2;30000 Km;22/10/2024;20/04/2025;649357;613635 Km;-5722 Km;30000 Km;0.00 %;643635 Km;643635;OYF5271;;CVTR;TRANSPORTES;VOLVO;FH540 6X4;NÃO;Próprio;OLEO MOTOR URANIA K 10W40 - SINTETICO;LUBRIFICANTE;OLEO MOTOR;37.000 UN;Ativo
Vencida;2;10000 Km;22/09/2025;21/03/2026;195321;174686 Km;-10635 Km;10000 Km;0.00 %;184686 Km;184686;QRG7F46;;A;APOIO;CHEVROLET;ONIX JOY;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR ONIX;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;2;30000 Km;04/07/2023;31/12/2023;579633;542123 Km;-7510 Km;30000 Km;0.00 %;572123 Km;572123;MRZ6178;;CVTR;TRANSPORTES;VOLVO;FH440 6X4;NÃO;Próprio;OLEO MOTOR URANIA K 10W40 - SINTETICO;LUBRIFICANTE;OLEO MOTOR;36.000 UN;Ativo
Vencida;2;20000 Km;11/06/2025;08/12/2025;28250;1 Km;-8249 Km;20000 Km;0.00 %;20001 Km;20001;TOH1C67;;CVTR;TRANSPORTES;DAF;XF FTS 480;NÃO;Próprio;FILTRO DE COMBUSTIVEL DAF XF BLUE ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;2;20000 Km;24/09/2025;23/03/2026;171561;149178 Km;-2383 Km;20000 Km;0.00 %;169178 Km;169178;SFQ7F74;;CVTR;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;1;20000 Km;25/08/2025;21/02/2026;323438;301558 Km;-1880 Km;20000 Km;0.00 %;321558 Km;321558;FPK0C05;;CVTRT;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO DE COMBUSTIVEL DAF XF ;MOTOR;FILTROS;2.000 UN;Ativo
Vencida;1;30000 Km;27/07/2022;23/01/2023;679277;578005 Km;-71272 Km;30000 Km;0.00 %;608005 Km;608005;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR VOLVO FH - 0915018;MOTOR;FILTROS;2.000 UN;Ativo
Vencida;1;10000 Km;22/09/2025;21/03/2026;195321;174686 Km;-10635 Km;10000 Km;0.00 %;184686 Km;184686;QRG7F46;;A;APOIO;CHEVROLET;ONIX JOY;NÃO;Próprio;OLEO 5W30;LUBRIFICANTE;OLEO MOTOR;4.000 UN;Ativo
Vencida;1;40000 Km;16/07/2025;12/01/2026;250650;203116 Km;-7534 Km;40000 Km;0.00 %;243116 Km;243116;RQM6J15;;CVTR;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;OLEO MOTOR DAF XF 10W30 ;LUBRIFICANTE;OLEO MOTOR;46.000 UN;Ativo
Vencida;1;20000 Km;24/09/2025;23/03/2026;171561;149178 Km;-2383 Km;20000 Km;0.00 %;169178 Km;169178;SFQ7F74;;CVTR;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;FILTRO DE COMBUSTIVEL DAF XF BLUE ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;1;10000 Km;27/10/2025;25/04/2026;146800;133697 Km;-3103 Km;10000 Km;0.00 %;143697 Km;143697;QRK1I94;;A;ADMINISTRATIVO;CHEVROLET;ONIX JOY;NÃO;Próprio;OLEO MOTOR 5W30 SINTETICO;LUBRIFICANTE;OLEO MOTOR;4.000 UN;Ativo
Vencida;1;20000 Km;11/06/2025;08/12/2025;28250;1 Km;-8249 Km;20000 Km;0.00 %;20001 Km;20001;TOH1C67;;CVTR;TRANSPORTES;DAF;XF FTS 480;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;1;20000 Km;12/07/2024;08/01/2025;832333;776690 Km;-35643 Km;20000 Km;0.00 %;796690 Km;796690;PPQ5J77;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;1;20000 Km;10/09/2025;09/03/2026;41303;20131 Km;-1172 Km;20000 Km;0.00 %;40131 Km;40131;TOF3C00;;CVTR;TRANSPORTES;DAF;XF FTS 480;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
